Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody 1],Antibody Identifier 1,Comment [Antibody 1],Experimental Condition [Antibody 2],Antibody Identifier 2,Comment [Antibody 2],Experimental Condition [Antibody 3],Antibody Identifier 3,Comment [Antibody 3],Comment [Probe],Comment [Gene Identifier 1],Comment [Gene Symbol 1],Comment [Gene Identifier 2],Comment [Gene Symbol 2],Comment [Gene Identifier 3],Comment [Gene Symbol 3],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
ALX4_CS23,"1160,2,body,CS23,6_ALX4.ome.tiff","Embryo 1160, slide 6",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\1160,2,body,CS23,6_ALX4.ome.tiff",,,,DAB,"Bone (rib, upper limb), muscle (strong)"
ALX4_CS23,"1160,2,body,CS23,7_ALX4.ome.tiff","Embryo 1160, slide 7",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\1160,2,body,CS23,7_ALX4.ome.tiff",,,,DAB,"Bone (rib, upper limb), muscle (strong)"
ALX4_CS23,"11737,2,body,CS23,19_ALX4.ome.tiff","Embryo 11737, slide 19",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\11737,2,body,CS23,19_ALX4.ome.tiff",,,,DAB,"Bone (rib, upper limb), muscle (strong)"
ALX4_CS23,"11737,2,body,CS23,20_ALX4.ome.tiff","Embryo 11737, slide 20",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\11737,2,body,CS23,20_ALX4.ome.tiff",,,,DAB,"Bone (rib, upper limb), muscle (strong)"
ALX4_CS23,"12212,3,L Body,CS23,148_ALX4.ome.tiff","Embryo 12212, slide 148",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\12212,3,L Body,CS23,148_ALX4.ome.tiff",,,,DAB,"Bone (rib, upper limb, lower limb), skeletal muscle, heart (left ventricle), liver (strong)"
ALX4_CS23,"12212,3,L Body,CS23,149_ALX4.ome.tiff","Embryo 12212, slide 149",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\12212,3,L Body,CS23,149_ALX4.ome.tiff",,,,DAB,"Bone (rib, upper limb, lower limb), skeletal muscle, heart (left ventricle), liver (strong)"
ALX4_CS23,"12212,4,R body,CS23,76_ALX4.ome.tiff","Embryo 12212, slide 76",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\12212,4,R body,CS23,76_ALX4.ome.tiff",,,,DAB,"Spinal cord, bone (rib, vertebra, upper limb), lung, liver (strong)"
ALX4_CS23,"12212,4,R body,CS23,77_ALX4.ome.tiff","Embryo 12212, slide 77",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\12212,4,R body,CS23,77_ALX4.ome.tiff",,,,DAB,"Spinal cord, bone (rib, vertebra, upper limb), lung, liver (strong)"
ALX4_CS23,"12212,4,R body,CS23,78_ALX4.ome.tiff","Embryo 12212, slide 78",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\12212,4,R body,CS23,78_ALX4.ome.tiff",,,,DAB,"Spinal cord, bone (rib, vertebra, upper limb), lung, liver (strong)"
ALX4_CS23,"12212,4,R body,CS23,79_ALX4.ome.tiff","Embryo 12212, slide 79",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS23\12212,4,R body,CS23,79_ALX4.ome.tiff",,,,DAB,"Spinal cord, bone (rib, vertebra, upper limb), lung, liver (strong)"
ARL3_CS23,"11613,1,Embryo,CS23,171_arl3.ome.tiff","Embryo 11613, slide 171",Homo sapiens,NCBITaxon,9606,CS23,RNAscope,,NM_004311,,,,,,,,ACDBio 547601,ENSG00000138175,ARL3,,,,,"ARL3_CS23\11613,1,Embryo,CS23,171_arl3.ome.tiff",,,,Fast Red,"Telencephalon, metencephalon, choroid plexus, eye, trigeminal ganglion, vestibulocochlear ganglion (strong)"
ARL3_CS23,"11613,1,Embryo,CS23,219_arl3.ome.tiff","Embryo 11613, slide 219",Homo sapiens,NCBITaxon,9606,CS23,RNAscope,,NM_004311,,,,,,,,ACDBio 547601,ENSG00000138175,ARL3,,,,,"ARL3_CS23\11613,1,Embryo,CS23,219_arl3.ome.tiff",,,,Fast Red,"Telencephalon, rhombencephalon, dorsal root ganglion, lung, kidney, testis (strong)"
ARL3_14PCW,"12686,19,K&A,14pcw,35_arl3.ome.tiff","Fetal kidney and adrenal 12686, slide 35",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_004311,,,,,,,,ACDBio 547601,ENSG00000138175,ARL3,,,,,"ARL3_14pcw\12686,19,K&A,14pcw,35_arl3.ome.tiff",,,,Fast Red,Kidney (strong)
ARL3_14PCW,"13002,23,Hindbrain,14pcw,26_arl3.ome.tiff","Fetal brain 13002, slide 26",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_004311,,,,,,,,ACDBio 547601,ENSG00000138175,ARL3,,,,,"ARL3_14pcw\13002,23,Hindbrain,14pcw,26_arl3.ome.tiff",,,,Fast Red,Rhombencephalon (strong)
ARL3_14PCW,"13002,23,Hindbrain,14pcw,27_arl3.ome.tiff","Fetal brain 13002, slide 27",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_004311,,,,,,,,ACDBio 547601,ENSG00000138175,ARL3,,,,,"ARL3_14pcw\13002,23,Hindbrain,14pcw,27_arl3.ome.tiff",,,,Fast Red,Rhombencephalon (strong)
ARL3_18PCW,"12130,12,K&A,18pcw,32_arl3.ome.tiff","Fetal kidney and adrenal 12130, slide 32",Homo sapiens,NCBITaxon,9606,18PCW,RNAscope,,NM_004311,,,,,,,,ACDBio 547601,ENSG00000138175,ARL3,,,,,"ARL3_18pcw\12130,12,K&A,18pcw,32_arl3.ome.tiff",,,,Fast Red,"Kidney, adrenal (strong)"
ARL3_19PCW,"12963,5,L HB,19pcw,10_arl3.ome.tiff","Fetal brain 12963, slide 10",Homo sapiens,NCBITaxon,9606,19PCW,RNAscope,,NM_004311,,,,,,,,ACDBio 547601,ENSG00000138175,ARL3,,,,,"ARL3_19pcw\12963,5,L HB,19pcw,10_arl3.ome.tiff",,,,Fast Red,Rhombencephalon (strong)
ASCL1_12PCW,"12968,12.sl3,FB,12PCW,53_ASLC1.ome.tiff","Fetal brain 12968, slide 53",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_12pcw\12968,12.sl3,FB,12PCW,53_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_12PCW,"12968,12.sl3,FB,12PCW,73_2018-05-15 09_28_50.scn [1]","Fetal brain 12968, slide 53",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_12pcw\12968,12.sl3,FB,12PCW,73_2018-05-15 09_28_50.scn [1]",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_12PCW,"12968,12.sl3,FB,12PCW,73_2018-05-15 09_28_50.scn [macro]","Fetal brain 12968, slide 53",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_12pcw\12968,12.sl3,FB,12PCW,73_2018-05-15 09_28_50.scn [macro]",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS19,"1032,1,head,CS19,49_ASCL1.ome.tiff","Embryo 1032, slide 49",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS19\1032,1,head,CS19,49_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS19,"1032,1,head,CS19,59_ASCL1.ome.tiff","Embryo 1032, slide 59",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS19\1032,1,head,CS19,59_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS19,"1032,1,head,CS19,73_ASCL1.ome.tiff","Embryo 1032, slide 73",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS19\1032,1,head,CS19,73_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS19,"1032,1,head,CS19,99_ASCl1.ome.tiff","Embryo 1032, slide 99",Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS19\1032,1,head,CS19,99_ASCl1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS19,3DView.jpg,3D View,Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,ASCL1_CS19\3DView.jpg,"3D view of data mapped into a CS19 model. Red = strong expression, blue = weak expression.",,"Red = strong expression, blue = weak expression.",,
ASCL1_CS19,3DView.avi,3D View,Homo sapiens,NCBITaxon,9606,CS19,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,ASCL1_CS19\3DView.avi,"3D movie of data mapped into a CS19 model. Red = strong expression, blue = weak expression.",,"Red = strong expression, blue = weak expression.",,
ASCL1_CS23,"11613,1,Embryo,CS23,326_2018-05-16 11_03_41.scn [1]","Embryo 11613, slide 326",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS23\11613,1,Embryo,CS23,326_2018-05-16 11_03_41.scn [1]",,,,DAB,"Rhombencephalon, telencephalon, subpallium, diencephalon (strong)"
ASCL1_CS23,"11613,1,Embryo,CS23,326_2018-05-16 11_03_41.scn [macro]","Embryo 11613, slide 326",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS23\11613,1,Embryo,CS23,326_2018-05-16 11_03_41.scn [macro]",,,,DAB,"Rhombencephalon, telencephalon, subpallium, diencephalon (strong)"
ASCL1_CS23,"12602,1,head,CS23,72_ASCL1.ome.tiff","Embryo 12602, slide 72",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS23\12602,1,head,CS23,72_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS23,"12602,1,head,CS23,99_ASLC1.ome.tiff","Embryo 12602, slide 99",Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS23\12602,1,head,CS23,99_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS23,3DView.jpg,3D View,Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,ASCL1_CS23\3DView.jpg,"3D view of data mapped into a CS23 model. Red = strong expression, yellow = moderate expression.",,"Red = strong expression, yellow = moderate expression.",,
ASCL1_CS23,3DView.avi,3D View,Homo sapiens,NCBITaxon,9606,CS23,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,ASCL1_CS23\3DView.avi,"3D movie of data mapped into a CS23 model. Red = strong expression, yellow = moderate expression.",,"Red = strong expression, yellow = moderate expression.",,
ASCL1_10PCW,"13341,1,Brain,10pcw,143_ASCL1.ome.tiff","Fetal brain 13341, slide 143",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_10pcw\13341,1,Brain,10pcw,143_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_10PCW,"13341,1,Brain,10pcw,172_ASCL1.ome.tiff","Fetal brain 13341, slide 172",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_10pcw\13341,1,Brain,10pcw,172_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ASCL1_CS21,"13436,1,embryo,CS21,151_ASCL1.ome.tiff","Embryo 13436, slide 151",Homo sapiens,NCBITaxon,9606,CS21,Immunohistochemistry,ASCL1,NM_004316,Santa Cruz Sc-374104,,,,,,,,ENSG00000139352,ASCL1,,,,,"ASCL1_CS21\13436,1,embryo,CS21,151_ASCL1.ome.tiff",,,,DAB,"Telencephalon, subpallium (strong)"
ATOH1_10PCW,"12929,20,R.Head,10PCW,116_atoh1.ome.tiff","Fetus 12929, slide 116",Homo sapiens,NCBITaxon,9606,10PCW,RNAscope,,NM_005172,,,,,,,,ACDBio 417861,ENSG00000172238,ATOH1,,,,,"ATOH1_10pcw\12929,20,R.Head,10PCW,116_atoh1.ome.tiff",,,,Fast Red,"Telencephalon, pallium, subpallium (strong)"
ATOH1_14PCW,"13002,23,Hindbrain,14pcw,15_atoh1.ome.tiff","Fetal brain 13002, slide 15",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_005172,,,,,,,,ACDBio 417861,ENSG00000172238,ATOH1,,,,,"ATOH1_14pcw\13002,23,Hindbrain,14pcw,15_atoh1.ome.tiff",,,,Fast Red,Cerebellum (strong)
ATOH1_18PCW,"13463,31,MBHB,18pcw,41_atoh1.ome.tiff","Fetal brain 13463, slide 41",Homo sapiens,NCBITaxon,9606,18PCW,RNAscope,,NM_005172,,,,,,,,ACDBio 417861,ENSG00000172238,ATOH1,,,,,"ATOH1_18pcw\13463,31,MBHB,18pcw,41_atoh1.ome.tiff",,,,Fast Red,Cerebellum (strong)
ATOH1_8PCW,"12932,1,head,L8pcw,52_atoh1.ome.tiff","Fetus 12932, slide 52",Homo sapiens,NCBITaxon,9606,8PCW,RNAscope,,NM_005172,,,,,,,,ACDBio 417861,ENSG00000172238,ATOH1,,,,,"ATOH1_8pcw\12932,1,head,L8pcw,52_atoh1.ome.tiff",,,,Fast Red,"Telencephalon, pallium, subpallium, diencephalon, mesencephalon, cerebellum (strong)"
ATOH1_CS20,"11587,1,head,CS20,51_atoh1.ome.tiff","Embryo 11587, slide 51",Homo sapiens,NCBITaxon,9606,CS20,RNAscope,,NM_005172,,,,,,,,ACDBio 417861,ENSG00000172238,ATOH1,,,,,"ATOH1_CS20\11587,1,head,CS20,51_atoh1.ome.tiff",,,,Fast Red,"Cerebellum, spinal cord (strong)"
AUTS2_12PCW,"12998,4,12 PCW,MB_HB,114_auts2.ome.tiff","Fetal brain 12998, slide 114",Homo sapiens,NCBITaxon,9606,12PCW,RNAscope,,NM_001127231,,,,,,,,ACDBio 562631,ENSG00000158321,AUTS2,,,,,"AUTS2_12pcw\12998,4,12 PCW,MB_HB,114_auts2.ome.tiff",,,,Fast Red,"Mesencehalon, rhombencephalon (strong)"
AUTS2_14PCW,"12807,17,Hindbrain,14 PCW,232_auts2.ome.tiff","Fetal brain 12807, slide 232",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_001127231,,,,,,,,ACDBio 562631,ENSG00000158321,AUTS2,,,,,"AUTS2_14pcw\12807,17,Hindbrain,14 PCW,232_auts2.ome.tiff",,,,Fast Red,Rhombencephalon (strong)
AUTS2_14PCW,"13002,23,Hindbrain,14pcw,23_auts2.ome.tiff","Fetal brain 13002, slide 23",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_001127231,,,,,,,,ACDBio 562631,ENSG00000158321,AUTS2,,,,,"AUTS2_14pcw\13002,23,Hindbrain,14pcw,23_auts2.ome.tiff",,,,Fast Red,Rhombencephalon (strong)
AUTS2_18PCW,"14730,35,HB,18PCW,29_auts2.ome.tiff","Fetal brain, slide 29",Homo sapiens,NCBITaxon,9606,18PCW,RNAscope,,NM_001127231,,,,,,,,ACDBio 562631,ENSG00000158321,AUTS2,,,,,"AUTS2_18pcw\14730,35,HB,18PCW,29_auts2.ome.tiff",,,,Fast Red,"Pons, cerebellum (strong)"
AUTS2_CS20,"11587,1,head,CS20,54_auts2.ome.tiff","Embryo 11587, slide 54",Homo sapiens,NCBITaxon,9606,CS20,RNAscope,,NM_001127231,,,,,,,,ACDBio 562631,ENSG00000158321,AUTS2,,,,,"AUTS2_CS20\11587,1,head,CS20,54_auts2.ome.tiff",,,,Fast Red,"Head mesenchyme, telencephalon, diencephalon, mesencephalon, rhombencephalon (strong)"
BCL11A_12PCW,"12998,4,12 PCW,MB_HB,114_bcl11a.ome.tiff","Fetal brain 12998, slide 114",Homo sapiens,NCBITaxon,9606,12PCW,RNAscope,,NM_022893,,,,,,,, ACDBio 481541,ENSG00000119866,BCL11A,,,,,"BCL11A_12pcw\12998,4,12 PCW,MB_HB,114_bcl11a.ome.tiff",,,,Fast Red,"Mesencehalon, rhombencephalon (strong)"
BCL11A_14PCW,"12807,17,Hindbrain,14 PCW,232_bcl11a.ome.tiff","Fetal brain 12807, slide 232",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_022893,,,,,,,, ACDBio 481541,ENSG00000119866,BCL11A,,,,,"BCL11A_14pcw\12807,17,Hindbrain,14 PCW,232_bcl11a.ome.tiff",,,,Fast Red,Rhombencephalon (strong)
BCL11A_14PCW,"13002,23,Hindbrain,14pcw,21_bcl11a.ome.tiff","Fetal brain 13002, slide 21",Homo sapiens,NCBITaxon,9606,14PCW,RNAscope,,NM_022893,,,,,,,, ACDBio 481541,ENSG00000119866,BCL11A,,,,,"BCL11A_14pcw\13002,23,Hindbrain,14pcw,21_bcl11a.ome.tiff",,,,Fast Red,Rhombencephalon (strong)
BCL11A_18PCW,"14730,35,HB,18PCW,37_bcl11a.ome.tiff","Fetal brain, slide 37",Homo sapiens,NCBITaxon,9606,18PCW,RNAscope,,NM_022893,,,,,,,, ACDBio 481541,ENSG00000119866,BCL11A,,,,,"BCL11A_18pcw\14730,35,HB,18PCW,37_bcl11a.ome.tiff",,,,Fast Red,"Pons, cerebellum (strong)"
BCL11A_8PCW,"12932,1,head,L8pcw,51_bcl11a.ome.tiff","Fetus 12932, slide 51",Homo sapiens,NCBITaxon,9606,8PCW,RNAscope,,NM_022893,,,,,,,, ACDBio 481541,ENSG00000119866,BCL11A,,,,,"BCL11A_8pcw\12932,1,head,L8pcw,51_bcl11a.ome.tiff",,,,Fast Red,"Head mesenchyme, telencephalon, diencephalon, mesencephalon, rhombencephalon (strong)"
BCL11A_CS16,"13714,3,HEAD (sag),CS16,47_bcl11a.ome.tiff","Embryo 13714, slide 47",Homo sapiens,NCBITaxon,9606,CS16,RNAscope,,NM_022893,,,,,,,, ACDBio 481541,ENSG00000119866,BCL11A,,,,,"BCL11A_CS16\13714,3,HEAD (sag),CS16,47_bcl11a.ome.tiff",,,,Fast Red,"Telencephalon, mesencephalon, rhombencephalon (strong)"
BCL11A_CS18,"14542,3,Head,CS18,51_bcl11a.ome.tiff","Embryo 14542, slide 51",Homo sapiens,NCBITaxon,9606,CS18,RNAscope,,NM_022893,,,,,,,, ACDBio 481541,ENSG00000119866,BCL11A,,,,,"BCL11A_CS18\14542,3,Head,CS18,51_bcl11a.ome.tiff",,,,Fast Red,"Head mesenchyme, telencephalon, diencephalon, mesencephalon, rhombencephalon (strong)"
